"","Age_group","Gender","Institute_type","Internet_access","Device","Miss_classes","Platforms","Hours_of_classes","Class_duration","Breaks","Screen_time","Support","Support_type","Attendance","Attendance_relative","Attendance_reason","Participation","Patricipation_screen","Patricipation_teacher_camera_off","Patricipation_camera_off","Participation_login","Participation_distractions","Participation_bored","Participation_class_time","Participation_material","Participation_glitches","Participation_open_book","Participation_teachers","Participation_teacher_encouragement","Participation_exhausted","Help_needed","Feeling","Connection","Routine","Look_forward_to","Miss_classmates","Burden","Enjoyment","Progress","Stress_frustration","Open_book_interest","Social_media","Social_media_forward","Mood"
"516","Very Young Learners (aged 3-6 yrs)","Male","Government Owned","Yes (but with bandwidth and connectivity issues)","Mobile Phone","No","Google Meet","Less than 2 hrs","Less than 45 mins","Yes","2 to 4 Hrs","Yes","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc","90-100%","Little More","Your attendance is low for those classes that are very early in the morning","Asking my doubts and queries in class","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","Training on how to attend classes online more effectively","Happy","Disagree","Strongly disagree","Disagree","Disagree","Disagree",5,3,5,4,3,1,"Tired of phone and computer"
"517","Undergraduate Students (Adults aged 18 yrs and above )","Male","Privately Owned","Yes","Laptop/ Desktop","No","Google Meet","5 hours","Between 1 hour - 1.5 hours","Yes","8 to 10 Hrs","Yes","Data pack or internet connection","70-89%","Little Lesser","You do not enjoy participating in online classes, Because of OBE pattern I no longer feel like attending lectures, I am discontented with the way some of my teachers are teaching online","Just joining the class and not paying attention purpose is to get attendance marked","Neither agree nor disagree","Disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly agree","Agree","Neither agree nor disagree","Agree","Pursuing my personal projects/research interests, Attempting group projects/ activities with other students","Tired","Disagree","Neither agree nor disagree","Disagree","Strongly agree","Agree",5,2,2,4,2,2,"Tired of phone and computer"
"518","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Mobile Phone","No","Zoom, Google Meet","3 hours","More than 45 minutes  but less than 1 hour","Yes","6 to 8 Hrs","Not at all","EBooks, Presentations, Videos, Links to Educational Material","50-69%","Little More","Your attendance is low for those classes that are very early in the morning, Your attendance is low for those classes that are very late in the afternoon / evening, Technological glitches with platform/internet","Asking my doubts and queries in class, Discussing topics with teachers and peers in class, Doing and submitting assignments/ projects/ research work assigned in time","Agree","Strongly disagree","Neither agree nor disagree","Disagree","Agree","Disagree","Strongly agree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Training on creating ppts- pdfs- videos- using collaborative tools etc., Working on myself as a student - avoiding distractions and being more disciplined, Attempting group projects/ activities with other students","Relieved","Agree","Agree","Neither agree nor disagree","Strongly agree","Agree",1,3,4,2,3,1,"Tired of phone and computer"
"519","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Mobile Phone","Yes but only Sometimes","Zoom, Google Classroom, Google Meet","5 hours","Between 1 hour - 1.5 hours","Yes","10 to 12 Hrs","Not at all","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, Presentations, Videos, Links to Educational Material","30-49%","Much Lesser","You are exhausted with online learning, You do not enjoy participating in online classes, I am discontented with the way some of my teachers are teaching online","Just joining the class and not paying attention purpose is to get attendance marked, Doing and submitting assignments/ projects/ research work assigned in time","Strongly disagree","Disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Disagree","Disagree","Strongly disagree","Working on myself as a student - avoiding distractions and being more disciplined, Attempting group projects/ activities with other students, Giving Online tests-assignments and exams","Exhausted","Strongly disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree",5,1,5,1,3,2,"Tired of phone and computer"
"520","Research Scholar","Female","Government Owned","Yes","Laptop/ Desktop","Yes but only Sometimes","Zoom","Less than 2 hrs","Between 1 hour - 1.5 hours","Yes","8 to 10 Hrs","Yes but insufficient","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc","70-89%","Little Lesser","It has not decreased","Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Discussing topics with teachers and peers in class, Switching on my Camera in class","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Training on how to attend classes online more effectively, Receiving feedback from teachers, Giving Online tests-assignments and exams","Joyful","Disagree","Disagree","Disagree","Disagree","Disagree",4,5,2,2,1,1,"Peaceful"
"521","Post Graduate Students","Female","Government Owned","Yes","Laptop/ Desktop","No","Zoom","4 hours","Between 1 hour - 1.5 hours","No","10 to 12 Hrs","Not at all","None","70-89%","Little Lesser","Your attendance is low for those classes that are very early in the morning, Technological glitches with platform/internet, I am discontented with the way some of my teachers are teaching online","Listening Attentively in classes and taking notes","Strongly agree","Agree","Disagree","Disagree","Strongly agree","Agree","Neither agree nor disagree","Disagree","Disagree","Strongly disagree","Disagree","Disagree","Strongly agree","Receiving feedback from teachers","Exhausted","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree",3,3,4,1,2,1,"Tired of phone and computer"
"522","Very Young Learners (aged 3-6 yrs)","Female","Government Owned","Yes","Mobile Phone","Yes but only Sometimes","Zoom, Google Meet","Less than 2 hrs","Less than 45 mins","No","2 to 4 Hrs","Yes","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc","90-100%","Much More","Technological glitches with platform/internet, I am discontented with the way some of my teachers are teaching online, I do not have adequate resources - Devices and connectivity to attend","Asking my doubts and queries in class","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Training on how to attend classes online more effectively, Training on creating ppts- pdfs- videos- using collaborative tools etc., Finding Ebooks-worksheets-study material etc. for learning from Internet, Receiving feedback from teachers, Pursuing my personal projects/research interests, Attempting group projects/ activities with other students, Giving Online tests-assignments and exams","Joyful","Strongly agree","Agree","Agree","Neither agree nor disagree","Agree",5,5,2,1,2,2,"Tired of phone and computer"
"523","Very Young Learners (aged 3-6 yrs)","Male","Partially Govt Aided","Yes","Mobile Phone","Yes but only Sometimes","Google Meet","Less than 2 hrs","Less than 45 mins","Yes","Less than 2 Hrs per day","Yes but insufficient","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc","less than 30%","Almost the Same","You are exhausted with online learning, Technological glitches with platform/internet, Lack of proper online learning resources","Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class, Presenting my work to the class and teachers during an online session, Discussing topics with teachers and peers in class, Switching on my Camera in class, Doing and submitting assignments/ projects/ research work assigned in time","Agree","Neither agree nor disagree","Agree","Strongly disagree","Disagree","Strongly disagree","Disagree","Disagree","Strongly agree","Agree","Agree","Disagree","Neither agree nor disagree","Training on how to attend classes online more effectively, Receiving feedback from teachers, Working on myself as a student - avoiding distractions and being more disciplined","Joyful","Neither agree nor disagree","Agree","Agree","Strongly agree","Strongly agree",1,3,3,1,4,1,"Tired of phone and computer"
"524","Young Students upto Class V (aged 6-11 yrs)","Female","Privately Owned","Yes","Mobile Phone","Yes","Google Meet","Less than 2 hrs","Less than 45 mins","No","Less than 2 Hrs per day","Not at all","Presentations, Videos, Links to Educational Material","50-69%","Much More","Technological glitches with platform/internet","Answering the questions asked by teachers or others during the class","Strongly disagree","Disagree","Disagree","Disagree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","Training on creating ppts- pdfs- videos- using collaborative tools etc., Giving Online tests-assignments and exams","Happy","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree",1,5,1,5,1,5,"Calm"
"525","Very Young Learners (aged 3-6 yrs)","Male","Privately Owned","Yes","Mobile Phone","Yes","Google Meet","Less than 2 hrs","Less than 45 mins","No","Less than 2 Hrs per day","Yes","No support","50-69%","Much More","Technological glitches with platform/internet","Doing and submitting assignments/ projects/ research work assigned in time","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Giving Online tests-assignments and exams","Happy","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree",1,5,1,5,1,5,"Calm"
"526","Very Young Learners (aged 3-6 yrs)","Female","Government Owned","Yes","Mobile Phone","Yes","Google Meet","Less than 2 hrs","Less than 45 mins","No","Less than 2 Hrs per day","Not at all","Presentations, Videos, Links to Educational Material","50-69%","Much More","You are exhausted with online learning","Presenting my work to the class and teachers during an online session","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Giving Online tests-assignments and exams","Happy","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree",1,5,1,5,1,1,"Calm"
"527","Undergraduate Students (Adults aged 18 yrs and above )","Male","Government Owned","Yes","Mobile Phone","Yes","Google Meet","2 hours","Less than 45 mins","Yes","Less than 2 Hrs per day","Yes","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc","less than 30%","Much More","It has not decreased","Just joining the class and not paying attention purpose is to get attendance marked","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Disagree","Disagree","Disagree","Strongly disagree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Training on how to attend classes online more effectively","Happy","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree",1,5,5,5,5,5,"Peaceful"
"528","Very Young Learners (aged 3-6 yrs)","Male","Privately Owned","Yes (but with bandwidth and connectivity issues)","Mobile Phone","Yes","Google Meet","Less than 2 hrs","Between 1 hour - 1.5 hours","No","4 to 6 Hrs","Not at all","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc","70-89%","Almost the Same","Your attendance is low for those classes that are very early in the morning, You are exhausted with online learning, You do not enjoy participating in online classes","Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class","Agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Training on how to attend classes online more effectively, Training on creating ppts- pdfs- videos- using collaborative tools etc., Receiving feedback from teachers","Happy","Strongly agree","Agree","Neither agree nor disagree","Strongly agree","Strongly agree",1,5,5,5,1,1,"Hopeful"
"529","Young Students upto Class V (aged 6-11 yrs)","Male","Government Owned","Yes","Mobile Phone","Yes","Google Meet","Less than 2 hrs","Less than 45 mins","No","2 to 4 Hrs","Not at all","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, One to One mentoring Sessions if required, Smartphone or tablet or computer","90-100%","Much More","It has not decreased","Just joining the class and not paying attention purpose is to get attendance marked","Agree","Strongly disagree","Neither agree nor disagree","Disagree","Agree","Disagree","Agree","Strongly disagree","Agree","Strongly disagree","Neither agree nor disagree","Disagree","Agree","Training on how to attend classes online more effectively, Receiving feedback from teachers, Giving Online tests-assignments and exams","Relieved","Agree","Agree","Agree","Agree","Agree",1,3,1,3,1,1,"Loving"
"530","Middle School Students (aged 11-14 yrs)","Male","Privately Owned","Yes","Mobile Phone","Yes","Google Meet","2 hours","Less than 45 mins","No","2 to 4 Hrs","Yes","One to One mentoring Sessions if required","70-89%","Much More","Your attendance is low for those classes that are very early in the morning","Asking my doubts and queries in class","Disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Receiving feedback from teachers","Happy","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Strongly disagree",5,5,5,5,5,5,"Loving"
"531","Young Students upto Class V (aged 6-11 yrs)","Female","Government Owned","Yes","Mobile Phone","Yes","Zoom","4 hours","Between 1 hour - 1.5 hours","Yes","2 to 4 Hrs","Yes","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc","30-49%","Almost the Same","Your attendance is low for those classes that are very late in the afternoon / evening, I do not have adequate resources - Devices and connectivity to attend","Asking my doubts and queries in class","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Training on creating ppts- pdfs- videos- using collaborative tools etc.","Happy","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree",3,4,3,4,4,4,"Peaceful"
"532","Secondary / Senior Secondary Students (aged 14-18 yrs)","Female","Privately Owned","Yes","Mobile Phone","Yes but only Sometimes","Zoom","4 hours","More than 45 minutes  but less than 1 hour","Yes","4 to 6 Hrs","Yes but insufficient","Collaborative work and events to keep us connected as a group, EBooks, Presentations, Videos, Links to Educational Material","30-49%","Much More","Your attendance is low for those classes that are very early in the morning, Your attendance is low for those classes that are very late in the afternoon / evening, Lack of proper online learning resources","Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class","Neither agree nor disagree","Disagree","Agree","Agree","Agree","Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests, Attempting group projects/ activities with other students, Giving Online tests-assignments and exams","Study goes on even after classes","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree",1,5,3,3,5,3,"Relaxed"
"533","Young Students upto Class V (aged 6-11 yrs)","Female","Government Owned","Yes","Mobile Phone","Yes","Zoom, Google Classroom, Google Meet, YouTube","2 hours","Less than 45 mins","No","2 to 4 Hrs","Yes","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, Smartphone or tablet or computer","30-49%","Almost the Same","Technological glitches with platform/internet","Listening Passively in classes","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Training on creating ppts- pdfs- videos- using collaborative tools etc.","Joyful","Agree","Agree","Agree","Agree","Agree",3,3,4,3,3,3,"Peaceful"
"534","Very Young Learners (aged 3-6 yrs)","Female","Government Owned","Yes","Mobile Phone","No","Zoom, YouTube","2 hours","Less than 45 mins","No","2 to 4 Hrs","Yes","One to One mentoring Sessions if required, EBooks","50-69%","Almost the Same","Your attendance is low for those classes that are very late in the afternoon / evening, Technological glitches with platform/internet","Listening Passively in classes, Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly disagree","Strongly disagree","Training on creating ppts- pdfs- videos- using collaborative tools etc., Working on myself as a student - avoiding distractions and being more disciplined","Happy","Disagree","Disagree","Disagree","Disagree","Disagree",1,5,5,5,5,4,"Tired of phone and computer"
"535","Secondary / Senior Secondary Students (aged 14-18 yrs)","Female","Privately Owned","Yes (but with bandwidth and connectivity issues)","Laptop/ Desktop","No","Google Classroom, Google Meet","5 hours","Less than 45 mins","Yes","8 to 10 Hrs","Not at all","Presentations, Videos, Links to Educational Material","90-100%","Almost the Same","It has not decreased","Doing and submitting assignments/ projects/ research work assigned in time","Agree","Strongly disagree","Strongly disagree","Disagree","Strongly agree","Neither agree nor disagree","Disagree","Strongly disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly agree","Working on myself as a student - avoiding distractions and being more disciplined","Exhausted","Neither agree nor disagree","Disagree","Strongly disagree","Disagree","Strongly agree",1,1,5,2,2,1,"Frustrated"
"536","Secondary / Senior Secondary Students (aged 14-18 yrs)","Male","Privately Owned","Yes (but with bandwidth and connectivity issues)","Mobile Phone","Yes but only Sometimes","Zoom, Google Classroom, Google Meet","4 hours","More than 45 minutes  but less than 1 hour","Yes","6 to 8 Hrs","Yes but insufficient","Presentations, Videos, Links to Educational Material","70-89%","Much More","You are exhausted with online learning, You do not enjoy participating in online classes, Technological glitches with platform/internet","Asking my doubts and queries in class, Switching on my Camera in class","Strongly agree","Strongly disagree","Strongly agree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Finding Ebooks-worksheets-study material etc. for learning from Internet, Working on myself as a student - avoiding distractions and being more disciplined, Giving Online tests-assignments and exams","Study goes on even after classes","Strongly disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Strongly agree",1,2,5,4,1,1,"Frustrated"
"537","Young Students upto Class V (aged 6-11 yrs)","Male","Privately Owned","Yes (but with bandwidth and connectivity issues)","Laptop/ Desktop","No","Microsoft Teams","4 hours","Less than 45 mins","Yes","6 to 8 Hrs","Not at all","Collaborative work and events to keep us connected as a group, Presentations, Videos, Links to Educational Material","90-100%","Almost the Same","It has not decreased","Listening Passively in classes, Listening Attentively in classes and taking notes, Answering the questions asked by teachers or others during the class, Doing and submitting assignments/ projects/ research work assigned in time","Agree","Strongly disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Disagree","Strongly disagree","Disagree","Neither agree nor disagree","Working on myself as a student - avoiding distractions and being more disciplined","Relieved","Strongly disagree","Disagree","Disagree","Agree","Neither agree nor disagree",2,3,3,3,1,1,"Indifferent"
"538","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Mobile Phone","Yes but only Sometimes","Google Meet","4 hours","Between 1 hour - 1.5 hours","Yes","8 to 10 Hrs","Yes but insufficient","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc","90-100%","Almost the Same","Your attendance is low for those classes that are very early in the morning, You are exhausted with online learning, You do not enjoy participating in online classes","Just joining the class and not paying attention purpose is to get attendance marked","Strongly disagree","Disagree","Disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","Disagree","Disagree","Disagree","Neither agree nor disagree","Strongly disagree","Finding Ebooks-worksheets-study material etc. for learning from Internet, Working on myself as a student - avoiding distractions and being more disciplined, Giving Online tests-assignments and exams","Tired","Neither agree nor disagree","Disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree",3,2,5,5,3,1,"Tired of phone and computer"
"539","Young Students upto Class V (aged 6-11 yrs)","Female","Privately Owned","Yes","Mobile Phone","Yes but only Sometimes","Zoom, Google Meet","2 hours","Less than 45 mins","Yes","4 to 6 Hrs","Yes","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, Collaborative work and events to keep us connected as a group","90-100%","Much More","It has not decreased, I do not have adequate resources - Devices and connectivity to attend","Listening Passively in classes, Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class, Presenting my work to the class and teachers during an online session, Switching on my Camera in class, Doing and submitting assignments/ projects/ research work assigned in time","Strongly disagree","Strongly disagree","Strongly disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly agree","Disagree","Disagree","Disagree","Strongly disagree","Training on how to attend classes online more effectively, Training on creating ppts- pdfs- videos- using collaborative tools etc., Working on myself as a student - avoiding distractions and being more disciplined, Giving Online tests-assignments and exams","Happy","Agree","Agree","Strongly agree","Agree","Disagree",4,4,4,3,1,1,"Depressed"
"540","Middle School Students (aged 11-14 yrs)","Female","Government Owned","Yes","Mobile Phone","Yes but only Sometimes","Zoom, Google Classroom, Google Meet","4 hours","Less than 45 mins","No","4 to 6 Hrs","Yes","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, Presentations, Videos, Links to Educational Material, Smartphone or tablet or computer, Data pack or internet connection","70-89%","Almost the Same","Your attendance is low for those classes that are very late in the afternoon / evening","Asking my doubts and queries in class","Disagree","Strongly disagree","Agree","Strongly disagree","Disagree","Disagree","Disagree","Disagree","Neither agree nor disagree","Disagree","Disagree","Disagree","Neither agree nor disagree","Finding Ebooks-worksheets-study material etc. for learning from Internet, Receiving feedback from teachers, Working on myself as a student - avoiding distractions and being more disciplined","Happy","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree",1,5,2,1,4,2,"Peaceful"
"541","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Laptop/ Desktop","No","Google Classroom, Google Meet","5 hours","More than 1.5 hours","Yes","10 to 12 Hrs","Not at all","EBooks, Presentations, Videos, Links to Educational Material","70-89%","Almost the Same","It has not decreased, Your attendance is low for those classes that are very early in the morning, You are exhausted with online learning","Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class, Presenting my work to the class and teachers during an online session, Switching on my Camera in class","Agree","Agree","Agree","Agree","Strongly agree","Neither agree nor disagree","Agree","Disagree","Neither agree nor disagree","Disagree","Disagree","Disagree","Agree","Training on creating ppts- pdfs- videos- using collaborative tools etc., Receiving feedback from teachers, Working on myself as a student - avoiding distractions and being more disciplined, Attempting group projects/ activities with other students, Giving Online tests-assignments and exams","Happy","Disagree","Neither agree nor disagree","Disagree","Agree","Neither agree nor disagree",2,3,3,4,2,2,"Overworked"
"542","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Mobile Phone","Yes but only Sometimes","Zoom, Google Classroom, Google Meet","More than 5 hours","Less than 45 mins","No","More than 12 hrs","Not at all","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc","50-69%","Almost the Same","Your attendance is low for those classes that are very early in the morning, You are exhausted with online learning, Technological glitches with platform/internet","Listening Attentively in classes and taking notes","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Agree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Strongly agree","Training on how to attend classes online more effectively, Finding Ebooks-worksheets-study material etc. for learning from Internet, Receiving feedback from teachers","Tired","Disagree","Agree","Strongly disagree","Strongly agree","Strongly agree",1,4,5,3,2,1,"Depressed"
"543","Undergraduate Students (Adults aged 18 yrs and above )","Male","Government Owned","Yes","Mobile Phone","Yes but only Sometimes","Google Meet","4 hours","More than 45 minutes  but less than 1 hour","No","6 to 8 Hrs","Yes but insufficient","Presentations, Videos, Links to Educational Material","less than 30%","Much Lesser","You are exhausted with online learning, You do not enjoy participating in online classes, Because of OBE pattern I no longer feel like attending lectures","Just joining the class and not paying attention purpose is to get attendance marked, Listening Passively in classes","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Strongly agree","Disagree","Disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Strongly agree","Training on how to attend classes online more effectively, Pursuing my personal projects/research interests, Attempting group projects/ activities with other students","Relieved","Strongly disagree","Disagree","Strongly disagree","Strongly agree","Strongly agree",5,1,5,5,1,1,"Depressed"
"544","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Mobile Phone","No","Google Classroom, Google Meet","4 hours","More than 45 minutes  but less than 1 hour","Yes","4 to 6 Hrs","Yes","Presentations, Videos, Links to Educational Material","90-100%","Almost the Same","It has not decreased","Just joining the class and not paying attention purpose is to get attendance marked, Doing and submitting assignments/ projects/ research work assigned in time","Agree","Strongly disagree","Agree","Agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Giving Online tests-assignments and exams","Exhausted","Disagree","Disagree","Neither agree nor disagree","Agree","Strongly agree",2,2,5,2,1,1,"Overworked"
"545","Secondary / Senior Secondary Students (aged 14-18 yrs)","Female","Privately Owned","Yes","Laptop/ Desktop","No","Zoom, Google Classroom, YouTube","4 hours","More than 45 minutes  but less than 1 hour","Yes","2 to 4 Hrs","Yes","One to One mentoring Sessions if required, Collaborative work and events to keep us connected as a group, EBooks, Presentations, Videos, Links to Educational Material","90-100%","Little Lesser","Your attendance is low for those classes that are very late in the afternoon / evening, You are exhausted with online learning","Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class, Presenting my work to the class and teachers during an online session, Discussing topics with teachers and peers in class, Switching on my Camera in class, Doing and submitting assignments/ projects/ research work assigned in time","Strongly disagree","Disagree","Disagree","Disagree","Neither agree nor disagree","Disagree","Disagree","Disagree","Strongly disagree","Disagree","Disagree","Disagree","Strongly disagree","Training on creating ppts- pdfs- videos- using collaborative tools etc., Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests","Study goes on even after classes","Agree","Agree","Neither agree nor disagree","Strongly agree","Disagree",2,4,1,2,1,1,"Peaceful"
"546","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Mobile Phone","Yes but only Sometimes","Zoom, Google Classroom, Google Meet","5 hours","Between 1 hour - 1.5 hours","Yes","6 to 8 Hrs","Yes but insufficient","EBooks","70-89%","Almost the Same","You are exhausted with online learning, You do not enjoy participating in online classes, Technological glitches with platform/internet","Just joining the class and not paying attention purpose is to get attendance marked, Listening Passively in classes, Doing and submitting assignments/ projects/ research work assigned in time","Agree","Disagree","Agree","Agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Training on how to attend classes online more effectively, Finding Ebooks-worksheets-study material etc. for learning from Internet, Pursuing my personal projects/research interests, Attempting group projects/ activities with other students","Tired","Neither agree nor disagree","Disagree","Disagree","Strongly agree","Neither agree nor disagree",3,2,3,3,2,1,"Frustrated"
"547","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Laptop/ Desktop","No","Google Classroom, Google Meet","3 hours","Between 1 hour - 1.5 hours","Yes","8 to 10 Hrs","Not at all","EBooks","50-69%","Much Lesser","Your attendance is low for those classes that are very early in the morning, You are exhausted with online learning, You do not enjoy participating in online classes","Just joining the class and not paying attention purpose is to get attendance marked","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Neither agree nor disagree","Strongly agree","Agree","Agree","Strongly agree","Training on how to attend classes online more effectively, Working on myself as a student - avoiding distractions and being more disciplined, Giving Online tests-assignments and exams","Exhausted","Strongly disagree","Agree","Strongly disagree","Strongly agree","Strongly agree",5,1,1,5,3,2,"Tired of phone and computer"
"548","Undergraduate Students (Adults aged 18 yrs and above )","Male","Government Owned","Yes","Laptop/ Desktop","No","Zoom, Microsoft Teams","4 hours","More than 45 minutes  but less than 1 hour","No","10 to 12 Hrs","Yes","Collaborative work and events to keep us connected as a group, Smartphone or tablet or computer, Data pack or internet connection","50-69%","Little Lesser","You do not enjoy participating in online classes, Because of OBE pattern I no longer feel like attending lectures","Just joining the class and not paying attention purpose is to get attendance marked","Neither agree nor disagree","Strongly disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Strongly agree","Training on how to attend classes online more effectively, Working on myself as a student - avoiding distractions and being more disciplined, Giving Online tests-assignments and exams","Relieved","Disagree","Disagree","Disagree","Strongly agree","Agree",5,2,4,4,2,1,"Frustrated"
